"dataset"	"root_id"	"supervoxel_id"	"side"	"soma_division"	"class"	"type"	"synonyms"	"hemilineage"	"group"	"subclass"	"cell_id"
"FANC"	"648518346481382757"	"73326706072881081"	"L"	"brain"	"DN"	"DNb01"	""	NA	"73326706072881081"	NA	"10605"
"FANC"	"648518346464968565"	"73467443426998428"	"R"	"brain"	"DN"	"DNb01"	""	NA	"73326706072881081"	NA	"10793"
"FANC"	"648518346526144983"	"73256337328753720"	"L"	"brain"	"DN"	"DNb02"	"DNb02_b"	NA	"73256337329057792"	NA	"10431"
"FANC"	"648518346517643624"	"73256337329057792"	"L"	"brain"	"DN"	"DNb02"	""	NA	"73256337329057792"	NA	"10474"
"FANC"	"648518346477491214"	"73537812372639380"	"R"	"brain"	"DN"	"DNb02"	""	NA	"73256337329057792"	NA	"10901"
"FANC"	"648518346488615665"	"73537812372602691"	"R"	"brain"	"DN"	"DNb02"	"DNb02_b"	NA	"73256337329057792"	NA	"10924"
"FANC"	"648518346483125412"	"73256337462664353"	"L"	"brain"	"DN"	"DNb03"	""	NA	"73256337462664353"	NA	"10334"
"FANC"	"648518346476918728"	"73256337395842644"	"L"	"brain"	"DN"	"DNb03"	""	NA	"73256337462664353"	NA	"10486"
"FANC"	"648518346487786519"	"73467443628468241"	"R"	"brain"	"DN"	"DNb03"	""	NA	"73256337462664353"	NA	"10843"
"FANC"	"648518346485793220"	"73467443628516673"	"R"	"brain"	"DN"	"DNb03"	""	NA	"73256337462664353"	NA	"10847"
"FANC"	"648518346497046145"	"73256337261632464"	"L"	"brain"	"DN"	"DNb04"	""	NA	"73256337261632464"	NA	"10410"
"FANC"	"648518346495569003"	"73537812171207731"	"R"	"brain"	"DN"	"DNb04"	""	NA	"73256337261632464"	NA	"10887"
"FANC"	"648518346481293455"	"73608181183909692"	"R"	"brain"	"DN"	"DNb05"	"AMMC-Di7"	NA	"73185968718664952"	NA	"11214"
"FANC"	"648518346481789343"	"73185968718664952"	"L"	"brain"	"DN"	"DNb05"	"AMMC-Di7"	NA	"73185968718664952"	NA	"10094"
"FANC"	"648518346486480636"	"73608181183760297"	"R"	"brain"	"DN"	"DNb06"	""	NA	"73185968651553852"	NA	"11213"
"FANC"	"648518346472251186"	"73185968651553852"	"L"	"brain"	"DN"	"DNb06"	""	NA	"73185968651553852"	NA	"10095"
"FANC"	"648518346485807556"	"73467443426922033"	"R"	"brain"	"DN"	"DNb07"	""	NA	"73467443426922033"	NA	"10803"
"FANC"	"648518346517643368"	"73326706005776047"	"L"	"brain"	"DN"	"DNb07"	""	NA	"73467443426922033"	NA	"10571"
"FANC"	"648518346499234910"	"73256337395801932"	"L"	"brain"	"DN"	"DNb08"	""	NA	"73256337395819525"	NA	"10493"
"FANC"	"648518346500239285"	"73256337395819525"	"L"	"brain"	"DN"	"DNb08"	""	NA	"73256337395819525"	NA	"10427"
"FANC"	"648518346481751997"	"73537812372580922"	"R"	"brain"	"DN"	"DNb08"	""	NA	"73256337395819525"	NA	"10890"
"FANC"	"648518346500560819"	"73537812372588051"	"R"	"brain"	"DN"	"DNb08"	""	NA	"73256337395819525"	NA	"10913"
"FANC"	"648518346499268443"	"73467443695136228"	"R"	"brain"	"DN"	"DNb09"	""	NA	"73467443695136228"	NA	"10862"
"FANC"	"648518346479276498"	"73256337395643707"	"L"	"brain"	"DN"	"DNb09"	""	NA	"73467443695136228"	NA	"10495"
"FANC"	"648518346489954266"	"73115599840222879"	"L"	"brain"	"DN"	"DNc01"	""	NA	"73115599840222879"	NA	"10022"
"FANC"	"648518346490870136"	"73678549793538653"	"R"	"brain"	"DN"	"DNc01"	""	NA	"73115599840222879"	NA	"11320"
"FANC"	"648518346531195674"	"73608180982348376"	"R"	"brain"	"DN"	"DNc02"	""	NA	"73608180982348376"	NA	"11269"
"FANC"	"648518346481974973"	"73115599907330380"	"L"	"brain"	"DN"	"DNc02"	""	NA	"73608180982348376"	NA	"10016"
"FANC"	"648518346487709098"	"73185968785851717"	"L"	"brain"	"DN"	"DNd02"	"OA-VL1"	NA	"73185968785851717"	NA	"10227"
"FANC"	"648518346477596567"	"73467443829582880"	"R"	"brain"	"DN"	"DNd02"	"OA-VL1"	NA	"73185968785851717"	NA	"10832"
"FANC"	"648518346479639488"	"73608181183956211"	"R"	"brain"	"DN"	"DNd03"	"OA-VL2"	NA	"73608181183956211"	NA	"11274"
"FANC"	"648518346475212088"	"73115599907346763"	"L"	"brain"	"DN"	"DNd03"	"OA-VL2"	NA	"73608181183956211"	NA	"10033"
"FANC"	"648518346491054883"	"73397075085525745"	"R"	"brain"	"DN"	"DNd04"	""	NA	"73256337596990557"	NA	"10670"
"FANC"	"648518346491671464"	"73256337596990557"	"L"	"brain"	"DN"	"DNd04"	""	NA	"73256337596990557"	NA	"10517"
"FANC"	"648518346493762929"	"73537812439667613"	"R"	"brain"	"DN"	"DNd05"	""	NA	"73256337462853543"	NA	"10946"
"FANC"	"648518346483594927"	"73256337462853543"	"L"	"brain"	"DN"	"DNd05"	""	NA	"73256337462853543"	NA	"10262"
"FANC"	"648518346479324635"	"73326706005825313"	"L"	"brain"	"DN"	"DNfl012"	""	NA	"73467443628045108"	NA	"10553"
"FANC"	"648518346511819455"	"73326706005916066"	"L"	"brain"	"DN"	"DNfl012"	""	NA	"73467443628045108"	NA	"10528"
"FANC"	"648518346488401336"	"73467443628045108"	"R"	"brain"	"DN"	"DNfl012"	""	NA	"73467443628045108"	NA	"10865"
"FANC"	"648518346493834016"	"73608180982163403"	"R"	"brain"	"DN"	"DNfl015"	""	NA	"73115599907425287"	NA	"11188"
"FANC"	"648518346518919391"	"73115599907425287"	"L"	"brain"	"DN"	"DNfl015"	""	NA	"73115599907425287"	NA	"10031"
"FANC"	"648518346478714320"	"73678549793688468"	"R"	"brain"	"DN"	"DNfl016"	""	NA	"73115599974358132"	NA	"11337"
"FANC"	"648518346490518013"	"73115599974358132"	"L"	"brain"	"DN"	"DNfl016"	""	NA	"73115599974358132"	NA	"10009"
"FANC"	"648518346490080092"	"73608180982215665"	"R"	"brain"	"DN"	"DNfl017"	""	NA	"73185968584405202"	NA	"11278"
"FANC"	"648518346493900601"	"73185968584405202"	"L"	"brain"	"DN"	"DNfl017"	""	NA	"73185968584405202"	NA	"10081"
"FANC"	"648518346494224616"	"73185968718764899"	"L"	"brain"	"DN"	"DNfl018"	""	NA	"73185968718764899"	NA	"10146"
"FANC"	"648518346486077320"	"73608181184064920"	"R"	"brain"	"DN"	"DNfl018"	""	NA	"73185968718764899"	NA	"11185"
"FANC"	"648518346511808191"	"73537812439627508"	"R"	"brain"	"DN"	"DNfl020"	""	NA	"73537812439627508"	NA	"11103"
"FANC"	"648518346495446946"	"73185968718485464"	"L"	"brain"	"DN"	"DNfl020"	""	NA	"73537812439627508"	NA	"10187"
"FANC"	"648518346489798874"	"73185968718584115"	"L"	"brain"	"DN"	"DNfl021"	""	NA	"73185968718584115"	NA	"10169"
"FANC"	"648518346476847816"	"73185968718649655"	"L"	"brain"	"DN"	"DNfl021"	""	NA	"73185968718584115"	NA	"10203"
"FANC"	"648518346493785376"	"73537812506592771"	"R"	"brain"	"DN"	"DNfl021"	""	NA	"73185968718584115"	NA	"11132"
"FANC"	"648518346486654105"	"73537812506611486"	"R"	"brain"	"DN"	"DNfl021"	""	NA	"73185968718584115"	NA	"11141"
"FANC"	"648518346479050959"	"73185968718738737"	"L"	"brain"	"DN"	"DNfl023"	""	NA	"73185968718738737"	NA	"10181"
"FANC"	"648518346492925724"	"73537812439613165"	"R"	"brain"	"DN"	"DNfl023"	""	NA	"73185968718738737"	NA	"11044"
"FANC"	"648518346474109293"	"73608180915214591"	"R"	"brain"	"DN"	"DNfl024"	""	NA	"73608180915214591"	NA	"11220"
"FANC"	"648518346496235605"	"73185968584433507"	"L"	"brain"	"DN"	"DNfl024"	""	NA	"73608180915214591"	NA	"10117"
"FANC"	"648518346496789656"	"73537812506614571"	"R"	"brain"	"DN"	"DNfl025"	""	NA	"73185968718702446"	NA	"11122"
"FANC"	"648518346493989627"	"73185968718702446"	"L"	"brain"	"DN"	"DNfl025"	""	NA	"73185968718702446"	NA	"10170"
"FANC"	"648518346486434253"	"73537812439710923"	"R"	"brain"	"DN"	"DNfl026"	""	NA	"73185968718574996"	NA	"11159"
"FANC"	"648518346486414513"	"73185968718574996"	"L"	"brain"	"DN"	"DNfl026"	""	NA	"73185968718574996"	NA	"10189"
