"class"	"dataset"	"bodyid"	"cell_id"	"supervoxel_id"	"root_id"	"group"	"side"	"type"	"synonyms"	"soma_division"	"neuropil"	"neuropilgroup"	"cluster"	"hemilineage"	"manc_match_id"	"subclass"
"DN"	"FAFB"	NA	NA	"81137636206527502"	"720575940626328707"	"720575940618167579"	"L"	"DNae001"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78816429788786109"	"720575940618167579"	"720575940618167579"	"R"	"DNae001"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742877163"	"720575940620380449"	"720575940620380449"	"L"	"DNae002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78676173537828961"	"720575940627139530"	"720575940620380449"	"R"	"DNae002"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81137567487052186"	"720575940622204186"	"720575940622204186"	"L"	"DNae003"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78746473562545229"	"720575940634253281"	"720575940622204186"	"R"	"DNae003"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742886663"	"720575940641276917"	"720575940603591014"	"L"	"DNae004"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78957648514561798"	"720575940603591014"	"720575940603591014"	"R"	"DNae004"	""	"brain"	"SPS_IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742877336"	"720575940614403178"	"720575940609097429"	"L"	"DNae005"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78886867319335806"	"720575940609097429"	"720575940609097429"	"R"	"DNae005"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81137636206517441"	"720575940625573322"	"720575940614348438"	"L"	"DNae006"	""	"brain"	"GNG_IPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78041205304831584"	"720575940614348438"	"720575940614348438"	"R"	"DNae006"	""	"brain"	"GNG_IPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742887834"	"720575940615043222"	"720575940615043222"	"L"	"DNae007"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78746267203268193"	"720575940630607738"	"720575940615043222"	"R"	"DNae007"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742867399"	"720575940624874983"	"720575940624874983"	"L"	"DNae008"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78886523721982810"	"720575940625094325"	"720575940624874983"	"R"	"DNae008"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742887525"	"720575940636454136"	"720575940620322497"	"L"	"DNae009"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78886867319895457"	"720575940620322497"	"720575940620322497"	"R"	"DNae009"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81067198742872203"	"720575940630868281"	"720575940630868281"	"L"	"DNae010"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78817048465137926"	"720575940651341558"	"720575940630868281"	"R"	"DNae010"	""	"brain"	"IPS_SPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81209379273320190"	"720575940630758418"	"720575940625878160"	"L"	"DNb01"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77972142230441142"	"720575940625878160"	"720575940625878160"	"R"	"DNb01"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81139079248836796"	"720575940646753412"	"720575940616936226"	"L"	"DNb02"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81138941809777777"	"720575940622540899"	"720575940616936226"	"L"	"DNb02"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78042648413583138"	"720575940618156829"	"720575940616936226"	"R"	"DNb02"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78113017157586708"	"720575940616936226"	"720575940616936226"	"R"	"DNb02"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81560948049035129"	"720575940611016910"	"720575940611016910"	"L"	"DNb03"	""	"brain"	"IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81490648024613488"	"720575940627997050"	"720575940611016910"	"L"	"DNb03"	""	"brain"	"IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77901704699961762"	"720575940620776880"	"720575940611016910"	"R"	"DNb03"	""	"brain"	"IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78042442254892934"	"720575940634163682"	"720575940611016910"	"R"	"DNb03"	""	"brain"	"IPS"	"PS_LAL"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80083822829841785"	"720575940621226484"	"720575940613717138"	"L"	"DNb04"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80083822829818536"	"720575940613717138"	"720575940613717138"	"L"	"DNb04"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79520185882793142"	"720575940619582168"	"720575940613717138"	"R"	"DNb04"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80013591591568382"	"720575940629461442"	"720575940628352850"	"L"	"DNb05"	"AMMC-Di7"	"brain"	"multi"	"multi"	"9"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79309697991282726"	"720575940628352850"	"720575940628352850"	"R"	"DNb05"	"AMMC-Di7"	"brain"	"multi"	"multi"	"9"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80436078934889057"	"720575940629041879"	"720575940629041879"	"L"	"DNb06"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79309766710952989"	"720575940637308605"	"720575940629041879"	"R"	"DNb06"	""	"brain"	"IPS_SPS"	"PS_LAL"	"6"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"80787373167892187"	"720575940623938823"	"720575940613088426"	"L"	"DNb07"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79310041588950191"	"720575940613088426"	"720575940613088426"	"R"	"DNb07"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"79803104438248263"	"720575940634459290"	"720575940630334658"	"L"	"DNb08"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81349773164098790"	"720575940621068464"	"720575940621068464"	"L"	"DNb08"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"78042579693854709"	"720575940630334658"	"720575940630334658"	"R"	"DNb08"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"77972073510609659"	"720575940642549467"	"720575940621068464"	"R"	"DNb08"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
"DN"	"FAFB"	NA	NA	"81631454165664627"	"720575940648636292"	"720575940616826380"	"L"	"DNb09"	""	"brain"	"multi"	"multi"	"16"	NA	NA	NA
