class	supervoxel_id	root_id	group	side	type	synonyms	neuropil	neuropilgroup	confidence	SA subclass	xyz	x	y	z
AN	79592273083596334	720575940630780589	720575940630780589	L	AN_AVLP_22		AVLP	AVLP_AMMC_WED	5		(130870, 84173, 5798)	130870	84173	5798
AN	79662573108313399	720575940632674003	720575940630780589	R	AN_AVLP_22		AVLP	AVLP_AMMC_WED	5		(131824, 83513, 5798)	131824	83513	5798
AN	79662641827778423	720575940629850105	720575940620950042	L	AN_AVLP_23		AVLP	AVLP_AMMC_WED	5		(131075, 83984, 5798)	131075	83984	5798
AN	79662573108308282	720575940620950042	720575940620950042	R	AN_AVLP_23		AVLP	AVLP_AMMC_WED	5		(132012, 83162, 5798)	132012	83162	5798
AN	79662641827776895	720575940625188741	720575940625188741	L	AN_AVLP_24		AVLP	AVLP_AMMC_WED	5		(131052, 83687, 5798)	131052	83687	5798
AN	79662573108309640	720575940628083516	720575940625188741	R	AN_AVLP_24		AVLP	AVLP_AMMC_WED	5		(131820, 83433, 5798)	131820	83433	5798
AN	79662641827777050	720575940603595366	720575940603595366	L	AN_AVLP_25		AVLP	AVLP_AMMC_WED	5		(131175, 83912, 5798)	131175	83912	5798
AN	79662573108302495	720575940616427357	720575940603595366	R	AN_AVLP_25		AVLP	AVLP_AMMC_WED	5		(131963, 83343, 5798)	131963	83343	5798
AN	79451466875757456	720575940620232686	720575940618398878	L	AN_AVLP_26		AVLP	AVLP_AMMC_WED	5		(128774, 82980, 5798)	128774	82980	5798
AN	79873679340850084	720575940618398878	720575940618398878	R	AN_AVLP_26		AVLP	AVLP_AMMC_WED	5		(134874, 83331, 5798)	134874	83331	5798
AN	79451466875762285	720575940608276949	720575940608276949	L	AN_AVLP_27		AVLP	AVLP_AMMC_WED	5		(128743, 82755, 5798)	128743	82755	5798
AN	79451466875757406	720575940626319900	720575940608276949	L	AN_AVLP_27		AVLP	AVLP_AMMC_WED	5		(128869, 82894, 5798)	128869	82894	5798
AN	79873679340845929	720575940647574916	720575940608276949	R	AN_AVLP_27		AVLP	AVLP_AMMC_WED	5		(134802, 83284, 5798)	134802	83284	5798
AN	79873679340841991	720575940610056516	720575940608276949	R	AN_AVLP_27		AVLP	AVLP_AMMC_WED	5		(134819, 83538, 5798)	134819	83538	5798
AN	79521766900481391	720575940606525058	720575940606525058	L	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(129702, 82105, 5798)	129702	82105	5798
AN	79521766900482491	720575940630174033	720575940606525058	L	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(129773, 82009, 5798)	129773	82009	5798
AN	79521766900480285	720575940630502604	720575940606525058	L	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(129778, 82283, 5798)	129778	82283	5798
AN	79521766900480238	720575940637203389	720575940606525058	L	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(129863, 82145, 5798)	129863	82145	5798
AN	79873679340845945	720575940615174493	720575940606525058	R	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(134653, 83260, 5798)	134653	83260	5798
AN	79873679340851200	720575940629864844	720575940606525058	R	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(134979, 82837, 5798)	134979	82837	5798
AN	79944048085025125	720575940617610837	720575940606525058	R	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(135118, 82980, 5798)	135118	82980	5798
AN	79944048085022594	720575940627003495	720575940606525058	R	AN_AVLP_28		AVLP	AVLP_AMMC_WED	5		(135625, 83281, 5798)	135625	83281	5798
AN	79521766900478141	720575940627378950	720575940627378950	L	AN_AVLP_29		AVLP	AVLP_AMMC_WED	5		(129512, 82393, 5798)	129512	82393	5798
AN	79944048085025282	720575940651808758	720575940627378950	R	AN_AVLP_29		AVLP	AVLP_AMMC_WED	5		(135351, 83168, 5798)	135351	83168	5798
AN	79169785740607798	720575940624792880	720575940624792880	L	AN_AVLP_3		AVLP	AVLP_AMMC_WED	5		(124713, 80169, 5798)	124713	80169	5798
AN	80225523061724500	720575940632930711	720575940624792880	R	AN_AVLP_3		AVLP	AVLP_AMMC_WED	5		(139513, 83018, 5798)	139513	83018	5798
AN	79521835619945551	720575940621106977	720575940619358885	L	AN_AVLP_30		AVLP	AVLP_AMMC_WED	5		(129182, 82646, 5798)	129182	82646	5798
AN	79944116804509343	720575940619358885	720575940619358885	R	AN_AVLP_30		AVLP	AVLP_AMMC_WED	5		(135148, 83788, 5798)	135148	83788	5798
AN	79451466875759342	720575940621057285	720575940621057285	L	AN_AVLP_31		AVLP	AVLP_AMMC_WED	5		(128460, 82598, 5798)	128460	82598	5798
