class	supervoxel_id	root_id	side	type	entry_nerve	entry_side	long_tract	comment_KE	xyz
SA	73256337529935075	648518346492357759	L	DLV_MesoLN	MesoLN	L	DLV	entry nerve changed	(36105, 75200, 1825)
SA	73256337529958008	648518346493057088	L	DLV_MetaLN	MetaLN	L	DLV	entry nerve changed	(36043, 75200, 1830)
SA	73256337529978255	648518346509233018	L	DLV_ProLN	ProLN	L	DLV		(35991, 75200, 1836)
SA	73256337529967944	648518346488912397	L	DLV_ProLN	ProLN	L	DLV		(35979, 75200, 1842)
SA	73256337529970382	648518346499541854	L	DLV_ProLN	ProLN	L	DLV	wrong entry nerve, was MetaLN is now ProLN	(36052, 75200, 1840)
SA	73256337529962869	648518346480527830	L	DLV_MesoLN	MesoLN	L	DLV	entry nerve changed	(36118, 75200, 1844)
SA	73256337529953192	648518346487964951	L	DLV_MesoLN/MetaLN	MesoLN/MetaLN	L	DLV	entry nerve changed, definitely not ProLN but not fully reconstructed	(36232, 75200, 1824)
SA	73256337529937554	648518346502576454	L	DLV_MetaLN	MetaLN	L	DLV	entry nerve changed	(36084, 75200, 1832)
SA	73256337529955565	648518346492002415	L	DLV_ProLN	ProLN	L	DLV	entry nerve changed	(36237, 75200, 1837)
SA	73256337529942856	648518346490994808	L	DLV_MesoLN/MetaLN	MesoLN/MetaLN	L	DLV	entry nerve changed, definitely not ProLN but not fully reconstructed	(36131, 75200, 1835)
SA	73256337328753662	648518346491297210	L	DMT_DMetaN	DMetaN	L	DMT		(35545, 75200, 1498)
SA	73256337328766746	648518346495304886	L	DMT_DMetaN	DMetaN	L	DMT		(35438, 75200, 1497)
SA	73256337328744451	648518346478985424	L	DMT_DMetaN	DMetaN	L	DMT		(35512, 75200, 1486)
SA	73256337328779036	648518346465928496	L	DMT_DMetaN	DMetaN	L	DMT		(35469, 75200, 1506)
SA	73256337328788764	648518346486703331	L	DMT_DMetaN	DMetaN	L	DMT		(35410, 75200, 1513)
SA	73256337328852172	648518346465095797	L	DMT_DMetaN	DMetaN	L	DMT		(35377, 75200, 1534)
SA	73256337328786242	648518346491030051	L	DMT_DMetaN	DMetaN	L	DMT		(35341, 75200, 1513)
SA	73256337328868057	648518346465096053	L	DMT_DMetaN	DMetaN	L	DMT		(35451, 75200, 1542)
SA	73256337395628396	648518346487697899	L	DMT_DMetaN	DMetaN	L	DMT		(35445, 75200, 1553)
SA	73256337395665143	648518346474295917	L	DMT_DMetaN	DMetaN	L	DMT		(35453, 75200, 1565)
SA	73256337395674976	648518346483559343	L	DMT_DMetaN	DMetaN	L	DMT		(35367, 75200, 1570)
SA	73256337395651475	648518346489760460	L	DMT_DMetaN	DMetaN	L	DMT		(35123, 75200, 1557)
SA	73256337395688821	648518346497313560	L	DMT_DMetaN	DMetaN	L	DMT		(35131, 75200, 1566)
SA	73256337395654257	648518346498490644	L	DMT_DMetaN	DMetaN	L	DMT		(35252, 75200, 1561)
SA	73256337395651623	648518346486427313	L	DMT_DMetaN	DMetaN	L	DMT		(35291, 75200, 1553)
SA	73256337328906667	648518346491390526	L	DMT_DMetaN	DMetaN	L	DMT		(35279, 75200, 1540)
SA	73256337328889530	648518346489758815	L	DMT_DMetaN	DMetaN	L	DMT		(35348, 75200, 1543)
SA	73256337395633018	648518346511173762	L	DMT_DMetaN	DMetaN	L	DMT		(35385, 75200, 1557)
SA	73256337395550631	648518346489760972	L	DMT_DMetaN	DMetaN	L	DMT		(35352, 75200, 1549)
SA	73256337395497839	648518346484564813	L	DMT_DMetaN	DMetaN	L	DMT		(35180, 75200, 1547)
SA	73256337395496035	648518346470508286	L	DMT_DMetaN	DMetaN	L	DMT		(35303, 75200, 1546)
SA	73256337395889423	648518346481211535	L	DMT_ADMN	ADMN	L	DMT		(35101, 75200, 1653)
SA	73256337395948635	648518346520724022	L	DMT_ADMN	ADMN	L	DMT		(34849, 75200, 1660)
SA	73256337395865942	648518346495891302	L	DMT_ADMN	ADMN	L	DMT		(34927, 75200, 1648)
SA	73256337395878697	648518346489850586	L	DMT_ADMN	ADMN	L	DMT		(34823, 75200, 1649)
SA	73256337395883998	648518346504289260	L	DMT_ADMN	ADMN	L	DMT		(35015, 75200, 1654)
SA	73256337395845141	648518346494481207	L	DMT_ADMN	ADMN	L	DMT		(35040, 75200, 1646)
SA	73256337395845166	648518346524009477	L	DMT_ADMN	ADMN	L	DMT		(34960, 75200, 1636)
SA	73256337395833432	648518346517157157	L	DMT_ADMN	ADMN	L	DMT		(35077, 75200, 1631)
SA	73256337395712261	648518346479781349	L	DMT_DMetaN	DMetaN	L	DMT		(35077, 75200, 1584)
SA	73256337395693346	648518346501409379	L	DMT_DMetaN	DMetaN	L	DMT		(35243, 75200, 1573)
SA	73256337395734548	648518346512528286	L	DMT_DMetaN	DMetaN	L	DMT		(34888, 75200, 1587)
SA	73256337395702382	648518346486224520	L	DMT_DMetaN	DMetaN	L	DMT		(34970, 75200, 1580)
SA	73256337395670319	648518346517916008	L	DMT_DMetaN	DMetaN	L	DMT		(35034, 75200, 1571)
SA	73256337395763121	648518346494700533	L	DMT_ADMN	ADMN	L	DMT		(34942, 75200, 1605)
SA	73256337395778662	648518346478558804	L	DMT_ADMN	ADMN	L	DMT		(34849, 75200, 1610)
SA	73256337395786406	648518346486548145	L	DMT_ADMN	ADMN	L	DMT		(34919, 75200, 1612)
SA	73256337395804519	648518346496703460	L	DMT_ADMN	ADMN	L	DMT		(34944, 75200, 1621)
SA	73256337395791666	648518346492296889	L	DMT_ADMN	ADMN	L	DMT		(35048, 75200, 1618)
SA	73256337395833448	648518346485818820	L	DMT_ADMN	ADMN	L	DMT		(34878, 75200, 1629)
SA	73256337395804501	648518346515094343	L	DMT_ADMN	ADMN	L	DMT		(34997, 75200, 1624)
SA	73185968651629833	648518346479780069	L	DMT_ADMN	ADMN	L	DMT		(34659, 75200, 1623)
SA	73185968651590128	648518346475376052	L	DMT_ADMN	ADMN	L	DMT		(34661, 75200, 1615)
SA	73185968651600281	648518346490541148	L	DMT_ADMN	ADMN	L	DMT		(34755, 75200, 1613)
SA	73185968651605175	648518346480270502	L	DMT_ADMN	ADMN	L	DMT		(34741, 75200, 1618)
SA	73185968651625128	648518346488414857	L	DMT_ADMN	ADMN	L	DMT		(34786, 75200, 1628)
SA	73185968651654444	648518346501131363	L	DMT_ADMN	ADMN	L	DMT		(34546, 75200, 1636)
SA	73185968651682722	648518346514066398	L	DMT_ADMN	ADMN	L	DMT		(34538, 75200, 1645)
SA	73185968651705119	648518346487335082	L	DMT_ADMN	ADMN	L	DMT		(34630, 75200, 1657)
SA	73185968651660483	648518346495891558	L	DMT_ADMN	ADMN	L	DMT		(34722, 75200, 1645)
SA	73256337395840446	648518346478646868	L	DMT_ADMN	ADMN	L	DMT		(34821, 75200, 1640)
SA	73185968584605757	648518346494921906	L	DMT_DMetaN	DMetaN	L	DMT		(33939, 75200, 1529)
SA	73185968584597269	648518346480920029	L	DMT_DMetaN	DMetaN	L	DMT		(34134, 75200, 1532)
SA	73185968651316885	648518346506681634	L	DMT_DMetaN	DMetaN	L	DMT		(34113, 75200, 1548)
SA	73185968651465908	648518346486354066	L	DMT_DMetaN	DMetaN	L	DMT		(33971, 75200, 1556)
SA	73185968651473587	648518346514248414	L	DMT_DMetaN	DMetaN	L	DMT		(34154, 75200, 1560)
SA	73185968651465941	648518346477737367	L	DMT_DMetaN	DMetaN	L	DMT		(34263, 75200, 1557)
SA	73185968651484977	648518346517503268	L	DMT_DMetaN	DMetaN	L	DMT		(34260, 75200, 1565)
SA	73185968651489986	648518346492174975	L	DMT_DMetaN	DMetaN	L	DMT		(34186, 75200, 1568)
SA	73185968651482706	648518346495304630	L	DMT_DMetaN	DMetaN	L	DMT		(34094, 75200, 1564)
SA	73185968651496777	648518346517263914	L	DMT_DMetaN	DMetaN	L	DMT		(34099, 75200, 1570)
SA	73185968651506491	648518346481332325	L	DMT_DMetaN	DMetaN	L	DMT		(34164, 75200, 1574)
SA	73185968651513864	648518346492387011	L	DMT_DMetaN	DMetaN	L	DMT		(34257, 75200, 1577)
SA	73185968651492354	648518346504163624	L	DMT_DMetaN	DMetaN	L	DMT		(34282, 75200, 1570)
SA	73185968651504007	648518346477654542	L	DMT_DMetaN	DMetaN	L	DMT		(34408, 75200, 1578)
SA	73185968651492314	648518346488821005	L	DMT_DMetaN	DMetaN	L	DMT		(34415, 75200, 1566)
SA	73185968651484983	648518346491842187	L	DMT_DMetaN	DMetaN	L	DMT		(34555, 75200, 1570)
SA	73185968651473588	648518346498543088	L	DMT_DMetaN	DMetaN	L	DMT		(34584, 75200, 1561)
SA	73185968651489939	648518346495528299	L	DMT_DMetaN	DMetaN	L	DMT		(34658, 75200, 1570)
SA	73185968651520477	648518346495445410	L	DMT_DMetaN	DMetaN	L	DMT		(34582, 75200, 1581)
SA	73185968651590254	648518346491760751	L	DMT_ADMN	ADMN	L	DMT		(34222, 75200, 1606)
SA	73185968651562565	648518346499938815	L	DMT_DMetaN	DMetaN	L	DMT		(34165, 75200, 1597)
SA	73185968651544187	648518346499156033	L	DMT_DMetaN	DMetaN	L	DMT		(34246, 75200, 1590)
SA	73185968651607867	648518346493874745	L	DMT_ADMN	ADMN	L	DMT		(34426, 75200, 1620)
SA	73185968651600301	648518346496046182	L	DMT_ADMN	ADMN	L	DMT		(34573, 75200, 1617)
SA	73185968651658598	648518346509606714	L	DMT_ADMN	ADMN	L	DMT		(34450, 75200, 1634)
SA	73185968651625149	648518346479777765	L	DMT_ADMN	ADMN	L	DMT		(34524, 75200, 1626)
SA	73185968584566144	648518346489553605	L	DMT_DMetaN	DMetaN	L	DMT		(34177, 75200, 1518)
SA	73185968584551602	648518346494035854	L	DMT_DMetaN	DMetaN	L	DMT		(34151, 75200, 1513)
SA	73185968584539011	648518346489748567	L	DMT_DMetaN	DMetaN	L	DMT		(34195, 75200, 1502)
SA	73185968584486090	648518346499401307	L	DMT_DMetaN	DMetaN	L	DMT		(34166, 75200, 1487)
SA	73185968584488395	648518346465091445	L	DMT_DMetaN	DMetaN	L	DMT		(34283, 75200, 1489)
SA	73185968584472458	648518346478033109	L	DMT_DMetaN	DMetaN	L	DMT		(34378, 75200, 1484)
SA	73185968584483457	648518346499401563	L	DMT_DMetaN	DMetaN	L	DMT		(34440, 75200, 1484)
SA	73185968584480783	648518346493037084	L	DMT_DMetaN	DMetaN	L	DMT		(34547, 75200, 1483)
SA	73185968584493234	648518346484212519	L	DMT_DMetaN	DMetaN	L	DMT		(34510, 75200, 1492)
SA	73185968584495667	648518346488817933	L	DMT_DMetaN	DMetaN	L	DMT		(34636, 75200, 1490)
SA	73185968584515597	648518346486532785	L	DMT_DMetaN	DMetaN	L	DMT		(34651, 75200, 1500)
SA	73185968584523515	648518346503982944	L	DMT_DMetaN	DMetaN	L	DMT		(34572, 75200, 1499)
SA	73185968584512894	648518346511116418	L	DMT_DMetaN	DMetaN	L	DMT		(34491, 75200, 1498)
SA	73185968584520835	648518346492351171	L	DMT_DMetaN	DMetaN	L	DMT		(34390, 75200, 1502)
SA	73185968584508126	648518346494875826	L	DMT_DMetaN	DMetaN	L	DMT		(34375, 75200, 1494)
SA	73185968584531505	648518346492495289	L	DMT_DMetaN	DMetaN	L	DMT		(34376, 75200, 1509)
SA	73185968584526065	648518346486532740	L	DMT_DMetaN	DMetaN	L	DMT		(34443, 75200, 1504)
SA	73185968584546293	648518346503086715	L	DMT_DMetaN	DMetaN	L	DMT		(34533, 75200, 1506)
SA	73185968584541291	648518346480873184	L	DMT_DMetaN	DMetaN	L	DMT		(34438, 75200, 1511)
SA	73185968584563787	648518346495342518	L	DMT_DMetaN	DMetaN	L	DMT		(34512, 75200, 1514)
SA	73185968584568688	648518346467239175	L	DMT_DMetaN	DMetaN	L	DMT		(34412, 75200, 1517)
SA	73185968584563720	648518346487978320	L	DMT_DMetaN	DMetaN	L	DMT		(34292, 75200, 1520)
SA	73185968584584789	648518346507529849	L	DMT_DMetaN	DMetaN	L	DMT		(34443, 75200, 1524)
SA	73185968584599973	648518346486320738	L	DMT_DMetaN	DMetaN	L	DMT		(34457, 75200, 1531)
SA	73185968584752081	648518346481370511	L	DMT_DMetaN	DMetaN	L	DMT		(34360, 75200, 1544)
SA	73185968584605633	648518346479155900	L	DMT_DMetaN	DMetaN	L	DMT		(34519, 75200, 1540)
SA	73185968651318103	648518346491008547	L	DMT_DMetaN	DMetaN	L	DMT		(34516, 75200, 1551)
SA	73185968584613375	648518346488285423	L	DMT_DMetaN	DMetaN	L	DMT		(34620, 75200, 1544)
SA	73185968584587280	648518346477614862	L	DMT_DMetaN	DMetaN	L	DMT		(34623, 75200, 1530)
SA	73185968584573991	648518346483177406	L	DMT_DMetaN	DMetaN	L	DMT		(34561, 75200, 1519)
SA	73185968584556430	648518346486288032	L	DMT_DMetaN	DMetaN	L	DMT		(34613, 75200, 1513)
SA	73185968584531473	648518346479774870	L	DMT_DMetaN	DMetaN	L	DMT		(34620, 75200, 1504)
SA	73185968584505651	648518346474418029	L	DMT_DMetaN	DMetaN	L	DMT		(34792, 75200, 1499)
SA	73185968584452663	648518346503052155	L	DMT_DMetaN	DMetaN	L	DMT		(34798, 75200, 1481)
SA	73185968584548923	648518346514338347	L	DMT_DMetaN	DMetaN	L	DMT		(34762, 75200, 1508)
SA	73256337328825961	648518346486254216	L	DMT_DMetaN	DMetaN	L	DMT		(34852, 75200, 1526)
SA	73256337328849222	648518346486287520	L	DMT_DMetaN	DMetaN	L	DMT		(34875, 75200, 1536)
SA	73256337328833621	648518346511174018	L	DMT_DMetaN	DMetaN	L	DMT		(34971, 75200, 1527)
SA	73256337328856205	648518346500048895	L	DMT_DMetaN	DMetaN	L	DMT		(34983, 75200, 1533)
SA	73256337328861077	648518346486820249	L	DMT_DMetaN	DMetaN	L	DMT		(34916, 75200, 1545)
SA	73256337328861098	648518346511121538	L	DMT_DMetaN	DMetaN	L	DMT		(34821, 75200, 1544)
SA	73185968584589647	648518346492105004	L	DMT_DMetaN	DMetaN	L	DMT		(34782, 75200, 1531)
SA	73185968584561530	648518346490115793	L	DMT_DMetaN	DMetaN	L	DMT		(34713, 75200, 1520)
SA	73185968584539019	648518346486533041	L	DMT_DMetaN	DMetaN	L	DMT		(34673, 75200, 1511)
SA	73185968584528833	648518346517468740	L	DMT_DMetaN	DMetaN	L	DMT		(34690, 75200, 1505)
SA	73256337328641024	648518346484022045	L	DMT_DMetaN	DMetaN	L	DMT		(34867, 75200, 1451)
SA	73185968584438197	648518346487877399	L	DMT_DMetaN	DMetaN	L	DMT		(34742, 75200, 1465)
SA	73185968584398550	648518346499399259	L	DMT_DMetaN	DMetaN	L	DMT		(34807, 75200, 1456)
SA	73256337328673213	648518346504112168	L	DMT_DMetaN	DMetaN	L	DMT		(34878, 75200, 1461)
SA	73256337328638339	648518346480322619	L	DMT_DMetaN	DMetaN	L	DMT		(34979, 75200, 1453)
SA	73256337328612412	648518346495754827	L	DMT_DMetaN	DMetaN	L	DMT		(35056, 75200, 1446)
SA	73256337328652061	648518346501964873	L	DMT_DMetaN	DMetaN	L	DMT		(35132, 75200, 1449)
SA	73256337328646583	648518346490116305	L	DMT_DMetaN	DMetaN	L	DMT		(35090, 75200, 1456)
SA	73256337328654723	648518346478752340	L	DMT_DMetaN	DMetaN	L	DMT		(35194, 75200, 1458)
SA	73256337328662821	648518346514200542	L	DMT_DMetaN	DMetaN	L	DMT		(35116, 75200, 1464)
SA	73256337328665485	648518346501905481	L	DMT_DMetaN	DMetaN	L	DMT		(34994, 75200, 1462)
SA	73256337328695780	648518346492319103	L	DMT_DMetaN	DMetaN	L	DMT		(34963, 75200, 1470)
SA	73256337328698422	648518346480649985	L	DMT_DMetaN	DMetaN	L	DMT		(35060, 75200, 1470)
SA	73256337328720671	648518346488817677	L	DMT_DMetaN	DMetaN	L	DMT		(35047, 75200, 1480)
SA	73256337328739820	648518346472435762	L	DMT_DMetaN	DMetaN	L	DMT		(34945, 75200, 1481)
SA	73256337328700931	648518346526212567	L	DMT_DMetaN	DMetaN	L	DMT		(34880, 75200, 1473)
SA	73256337328742038	648518346492487355	L	DMT_DMetaN	DMetaN	L	DMT		(35019, 75200, 1491)
SA	73256337328746814	648518346489761241	L	DMT_DMetaN	DMetaN	L	DMT		(34947, 75200, 1497)
SA	73256337328766716	648518346488749390	L	DMT_DMetaN	DMetaN	L	DMT		(35005, 75200, 1504)
SA	73256337328769272	648518346480991488	L	DMT_DMetaN	DMetaN	L	DMT		(35097, 75200, 1503)
SA	73256337328746800	648518346480874720	L	DMT_DMetaN	DMetaN	L	DMT		(35137, 75200, 1496)
SA	73256337328735015	648518346488822769	L	DMT_DMetaN	DMetaN	L	DMT		(35171, 75200, 1489)
SA	73256337328748937	648518346497836135	L	DMT_DMetaN	DMetaN	L	DMT		(35229, 75200, 1494)
SA	73256337328764164	648518346492499897	L	DMT_DMetaN	DMetaN	L	DMT		(35238, 75200, 1502)
SA	73256337328774093	648518346505350558	L	DMT_DMetaN	DMetaN	L	DMT		(35201, 75200, 1505)
SA	73256337328776581	648518346477693660	L	DMT_DMetaN	DMetaN	L	DMT		(35250, 75200, 1508)
SA	73256337328786270	648518346480993280	L	DMT_DMetaN	DMetaN	L	DMT		(35169, 75200, 1508)
SA	73256337328794001	648518346515599610	L	DMT_DMetaN	DMetaN	L	DMT		(35169, 75200, 1513)
SA	73256337328812699	648518346494140923	L	DMT_DMetaN	DMetaN	L	DMT		(35044, 75200, 1518)
SA	73256337328799458	648518346487433875	L	DMT_DMetaN	DMetaN	L	DMT		(34876, 75200, 1513)
SA	73256337328786244	648518346466875758	L	DMT_DMetaN	DMetaN	L	DMT		(34961, 75200, 1510)
SA	73256337328786273	648518346509979686	L	DMT_DMetaN	DMetaN	L	DMT		(35042, 75200, 1510)
SA	73256337328776554	648518346500991900	L	DMT_DMetaN	DMetaN	L	DMT		(35091, 75200, 1507)
SA	73256337395643694	648518346471718811	L	DMT_DMetaN	DMetaN	L	DMT		(34850, 75200, 1556)
SA	73185968651471182	648518346503979872	L	DMT_DMetaN	DMetaN	L	DMT		(34762, 75200, 1557)
SA	73185968651478242	648518346499502311	L	DMT_DMetaN	DMetaN	L	DMT		(34783, 75200, 1569)
SA	73256337395651494	648518346479896308	L	DMT_DMetaN	DMetaN	L	DMT		(34846, 75200, 1560)
SA	73256337395649073	648518346477748119	L	DMT_DMetaN	DMetaN	L	DMT		(34982, 75200, 1560)
SA	73256337395662547	648518346501406040	L	DMT_DMetaN	DMetaN	L	DMT		(34929, 75200, 1563)
SA	73256337395662529	648518346514483399	L	DMT_DMetaN	DMetaN	L	DMT		(34977, 75200, 1566)
SA	73185968651509036	648518346514482631	L	DMT_DMetaN	DMetaN	L	DMT		(34790, 75200, 1576)
SA	73185968651532271	648518346479548096	L	DMT_DMetaN	DMetaN	L	DMT		(34717, 75200, 1589)
SA	73185968651548985	648518346481466305	L	DMT_DMetaN	DMetaN	L	DMT		(34353, 75200, 1593)
SA	73185968651564994	648518346478985680	L	DMT_DMetaN	DMetaN	L	DMT		(34239, 75200, 1597)
SA	73185968651562561	648518346488688056	L	DMT_DMetaN	DMetaN	L	DMT		(34307, 75200, 1601)
SA	73256337328825991	648518346494786805	L	DMT_DMetaN	DMetaN	L	DMT		(35145, 75200, 1526)
SA	73256337328856217	648518346492260479	L	DMT_DMetaN	DMetaN	L	DMT		(35187, 75200, 1532)
SA	73256337328843527	648518346507504505	L	DMT_DMetaN	DMetaN	L	DMT		(35063, 75200, 1531)
SA	73256337328932969	648518346501123862	L	DMT_DMetaN	DMetaN	L	DMT		(35031, 75200, 1540)
SA	73256337328688189	648518346515598330	L	DMT_DMetaN	DMetaN	L	DMT		(35398, 75200, 1471)
