xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract
(39327, 75200, 1535)	39327	75200	1535	73397074817153368	648518346491971884	L		DN	DNxn140	MDA
(39292, 75200, 1550)	39292	75200	1550	73397074883851050	648518346515108167	L		DN	DNp24	MDA
(39401, 75200, 1559)	39401	75200	1559	73397074884036266	648518346501556312	L		AN	ANXXX116	
(39263, 75200, 1563)	39263	75200	1563	73397074884055536	648518346494285703	L	L	AN	AN05B103	
(39216, 75200, 1550)	39216	75200	1550	73397074883855016	648518346473255780	L	R	AN	ANXXX254	
(39024, 75200, 1566)	39024	75200	1566	73397074884038796	648518346498315569	L		DN	DNp48	MDA
(38274, 75200, 1534)	38274	75200	1534	73326706073049758	648518346524008453	L		DN	DNa14	MDA
(38420, 75200, 1535)	38420	75200	1535	73326706072981578	648518346472927588	L		DN	DNxn173	MDA
(38315, 75200, 1547)	38315	75200	1547	73326706139690133	648518346497246872	L	L	AN	AN04B003	
(38195, 75200, 1563)	38195	75200	1563	73326706139858470	648518346476808720	L		DN	DNp39	MDA
(38394, 75200, 1560)	38394	75200	1560	73326706139861339	648518346477846030	L	R	AN	AN18B019	
(38444, 75200, 1550)	38444	75200	1550	73326706139695704	648518346493883383	L	R	AN	ANXXX982	
(38543, 75200, 1540)	38543	75200	1540	73326706072957157	648518346479537115	L	R	AN	AN05B098	
(38674, 75200, 1537)	38674	75200	1537	73326706072975775	648518346480289190	L	R	AN	ANXXX981	
(38595, 75200, 1552)	38595	75200	1552	73326706139692387	648518346487546836	L		DN	DNp54	MDA
(38809, 75200, 1548)	38809	75200	1548	73326706139692431	648518346486183304	L		DN	DNg27	MDA
(38750, 75200, 1565)	38750	75200	1565	73326706139852673	648518346484402947	L		DN	DNp38	MDA
(38879, 75200, 1562)	38879	75200	1562	73326706139864082	648518346517644136	L		DN	DNg77	MDA
(38879, 75200, 1569)	38879	75200	1569	73326706139874797	648518346496396924	L		DN	DNp64	MDA
(38806, 75200, 1581)	38806	75200	1581	73326706139924924	648518346501086307	L		DN	DNxn981	MDA
(38932, 75200, 1581)	38932	75200	1581	73397074884067414	648518346496719332	L		DN	DNxn134	MDA
(38970, 75200, 1574)	38970	75200	1574	73397074884057913	648518346495776162	L	R	AN	ANXXX084	
(39136, 75200, 1582)	39136	75200	1582	73397074884088164	648518346492559547	L	L	AN	AN27X009	
(39317, 75200, 1576)	39317	75200	1576	73397074884069596	648518346488959325	L	R	AN	ANXXX136	
(39291, 75200, 1587)	39291	75200	1587	73397074884085663	648518346494593813	L	R	doubleseed		
(39268, 75200, 1598)	39268	75200	1598	73397074884130403	648518346475779810	L	R	AN	ANXXX470	
(39241, 75200, 1609)	39241	75200	1609	73397074884148993	648518346517737576	L		DN	DNg66	MDA
(39107, 75200, 1605)	39107	75200	1605	73397074884117768	648518346499676883	L		DN	DNg102	VTV
(39095, 75200, 1624)	39095	75200	1624	73397074884160851	648518346494203895	L	R	AN	ANXXX308	
(39045, 75200, 1654)	39045	75200	1654	73397074884271999	648518346475530624	L	L	AN	AN17A012	
(39200, 75200, 1673)	39200	75200	1673	73397074884402522	648518346483016869	L	L	AN	AN17A073	
(39303, 75200, 1683)	39303	75200	1683	73397074951114714	648518346484714755	L	R	doubleseed		
(39233, 75200, 1691)	39233	75200	1691	73397074951148379	648518346499818707	L	R	AN	AN05B097	
(38978, 75200, 1690)	38978	75200	1690	73397074951148460	648518346485631763	L	L	AN	AN17A012	
(38806, 75200, 1658)	38806	75200	1658	73326706140101140	648518346475303992	L	R	AN	AN10B015	
(38884, 75200, 1671)	38884	75200	1671	73326706140137076	648518346496942082	L	L	AN	ANXXX033	
(38639, 75200, 1684)	38639	75200	1684	73326706206927967	648518346509728643	L	L	AN	AN17A008	
(38917, 75200, 1634)	38917	75200	1634	73397074884186759	648518346479368896	L		DN	DNg102	VTV
(38695, 75200, 1638)	38695	75200	1638	73326706140059086	648518346498169682	L		DN	DNp44	MDA
(38881, 75200, 1609)	38881	75200	1609	73326706139939102	648518346466615918	L	R	AN	AN10B018	
(38667, 75200, 1597)	38667	75200	1597	73326706139966140	648518346476428662	L	R	AN	AN10B021	
(38596, 75200, 1612)	38596	75200	1612	73326706140008686	648518346481858463	L	R	AN	AN05B097	
(38641, 75200, 1621)	38641	75200	1621	73326706140015754	648518346486507168	L	R	AN	AN06B039	
(38589, 75200, 1626)	38589	75200	1626	73326706140030374	648518346493839392	L	R	AN	ANXXX084	
(38547, 75200, 1633)	38547	75200	1633	73326706140039687	648518346494780181	L	R	AN	ANXXX084	
(38462, 75200, 1640)	38462	75200	1640	73326706140059076	648518346489836895	L	L	AN	ANXXX090	
(38384, 75200, 1643)	38384	75200	1643	73326706140063798	648518346493964601	L		DN	DNit993	none
(38429, 75200, 1647)	38429	75200	1647	73326706140078384	648518346496839832	L		DN	DNit009	none
(38389, 75200, 1658)	38389	75200	1658	73326706140252881	648518346500236981	L		DN	DNg22	MDA
(38318, 75200, 1648)	38318	75200	1648	73326706140085947	648518346493236400	L	L	AN	ANXXX410	
(38243, 75200, 1646)	38243	75200	1646	73326706140078420	648518346518983391	L	L	AN	AN01A049	
(38181, 75200, 1635)	38181	75200	1635	73326706140056872	648518346480073716	L	R	AN	AN08B048	
