class	bodyid	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	predicted_nt	predicted_nt_prob	FANC_supervoxel_id	FANC_match	FANC_group	confidence_fanc_match_1_5
DN	11187	10987	R	DNa16	DNut055			ITD	a	brain	ut	ACH	0.8000877359	73537812238228320	648518346484049447	73537812238228320	5
DN	13848	13848	L	DNad004	DNad004	mute		DLT		brain	ad	ACH	0.8916208694	73185968584438272	648518346486104162	73185968584438272	4
DN	14007	13848	R	DNad004	DNad004	mute		DLT		brain	ad	ACH	0.8863406033	73678549793580568	648518346478571604	73185968584438272	4
DN	13750	13750	R	DNad005	DNad005			MTD-II		brain	ad	unk	0.5077539168	73537812171039844	648518346494767026	73537812171039844	3
DN	17376	13750	L	DNad005	DNad005			MTD-II		brain	ad	unk	0.5225226313	73185968584605790	648518346486528205	73537812171039844	3
DN	13365	13365	R	DNad006	DNad006	mute		DLT		brain	ad	ACH	0.8569263707	73678549793679336	648518346496566018	73678549793679336	4
DN	176792	13365	L	DNad006	DNad006	mute		DLT		brain	ad	ACH	0.8446426494	73115599907307380	648518346485812420	73678549793679336	4
DN	12431	12020	L	DNb01	DNxn005			MTD-I	b	brain	xn	GLUT	0.9584137705	73326706072881081	648518346481382757	73326706072881081	5
DN	12020	12020	R	DNb01	DNxn005			MTD-I	b	brain	xn	GLUT	0.9614028177	73467443426998428	648518346464968565	73326706072881081	5
DN	17963	16858	R	DNb02	DNut004			ITD	b	brain	ut	GLUT	0.9581423074	73537812372602691	648518346488615665	73256337329057792	5
DN	18445	16858	R	DNb02	DNut004			ITD	b	brain	ut	GLUT	0.9560996349	73537812372639380	648518346477491214	73256337329057792	5
DN	16858	16858	L	DNb02	DNut004			ITD	b	brain	ut	GLUT	0.9197919607	73256337329057792	648518346517643624	73256337329057792	5
DN	18415	16858	L	DNb02	DNut004			ITD	b	brain	ut	GLUT	0.9323939075	73256337328753720	648518346526144983	73256337329057792	5
DN	21344	20006	L	DNb03	DNut005			ITD	b	brain	ut	ACH	0.9638132563	73256337462664353	648518346483125412	73256337462664353	5
DN	20006	20006	R	DNb03	DNut005			ITD	b	brain	ut	ACH	0.9678614877	73467443628516673	648518346485793220	73256337462664353	5
DN	20042	20006	R	DNb03	DNut005			ITD	b	brain	ut	ACH	0.964137159	73467443628468241	648518346487786519	73256337462664353	5
DN	21756	20006	L	DNb03	DNut005			ITD	b	brain	ut	ACH	0.9669140172	73256337395842644	648518346476918728	73256337462664353	5
DN	17989	17989	R	DNb04	DNxn120			MTD-I	b	brain	xn	GLUT	0.8826879253	73537812171207731	648518346495569003	73256337261632464	3
DN	21685	17989	L	DNb04	DNxn120			MTD-I	b	brain	xn	GLUT	0.8717647116	73256337261632464	648518346497046145	73256337261632464	3
DN	10315	10307	R	DNb05	DNxn009	AMMC-Di7	thoracic relay interneuron	DMT	b	brain	xn	ACH	0.9260454947	73608181183909692	648518346481293455	73185968718664952	5
DN	10307	10307	L	DNb05	DNxn009	AMMC-Di7	thoracic relay interneuron	DMT	b	brain	xn	ACH	0.9311922368	73185968718664952	648518346481789343	73185968718664952	5
DN	11276	11276	L	DNb06	DNxl003			DMT	b	brain	xl	ACH	0.9024967301	73185968651553852	648518346472251186	73185968651553852	5
DN	11349	11276	R	DNb06	DNxl003			DMT	b	brain	xl	ACH	0.8834272328	73608181183760297	648518346486480636	73185968651553852	5
DN	11660	11637	L	DNb07	DNxn095			MTD-I	b	brain	xn	GLUT	0.9456406334	73326706005776047	648518346517643368	73467443426922033	5
DN	11637	11637	R	DNb07	DNxn095			MTD-I	b	brain	xn	GLUT	0.9358670467	73467443426922033	648518346485807556	73467443426922033	5
DN	14680	13892	R	DNb08	DNxl027			DMT	b	brain	xl	ACH	0.977972612	73537812372588051	648518346500560819	73256337395819525	5
DN	13892	13892	L	DNb08	DNxl027			DMT	b	brain	xl	ACH	0.9825833986	73256337395819525	648518346500239285	73256337395819525	5
DN	14061	13892	L	DNb08	DNxl027			DMT	b	brain	xl	ACH	0.9800520226	73256337395801932	648518346499234910	73256337395819525	5
DN	14966	13892	R	DNb08	DNxl027			DMT	b	brain	xl	ACH	0.9690196827	73537812372580922	648518346481751997	73256337395819525	5
