dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNp20	SS00729-20140624_33_A4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140624_33_A4			DNOVS1	https://www.jneurosci.org/content/36/46/11768?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_0	
DNp21	SS02609-20150320_19_C3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150320_19_C3	same as DNp40				
DNp22	VT037223-20150220_20_A5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150220_20_A5	red channel neuron		DNOVS2	https://www.jneurosci.org/content/36/46/11768?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JNeurosci_TrendMD_0	
DNp23	R58F03-20190820_66_I3-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190820_66_I3					
DNp24	SS00732-20140624_33_D2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140624_33_D2					
DNp25	SS01052-20140623_31_F3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_31_F3					
DNp26	SS01553-20140718_32_E1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140718_32_E1					
DNp27	SS00923-20150209_32_A3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150209_32_A3	branches variable				
DNp28	SS01589-20140819_32_C1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140819_32_C1					
DNp29	R10H10-20180828_61_J4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180828_61_J4		FBbt_00047662, FBbt_00048120	NPFP1	https://www.pnas.org/doi/full/10.1073/pnas.1710552114	
DNp30	SS01581-20140815_31_H3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140815_31_H3	branches variable				
DNp31	R58E07-20190129_61_G6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190129_61_G6	red channel neuron				
DNp32	R13H04-20180831_63_A5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180831_63_A5	green channel neuron				
DNp33	SS55961-20180821_31_G4-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20180821_31_G4		FBbt_00047666, FBbt_00110978	AMMC-D1 PN	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNp34	R22D06-20181113_63_H2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181113_63_H2					
DNp35	VT058704-20160527_22_C2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20160527_22_C2					
DNp36	VT049903-20181002_61_E1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181002_61_E1	female smaller than male, no male stacks	FBbt_00110613	pIP9		
DNp37	VT014729-20180316_62_D4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180316_62_D4	female specitic		vpoDN		
DNp38	SS48301-20221021_43_D5-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20221021_43_D5					
DNp39		not online	very similar to DNp51 but no stack				
DNp40	SS02609-20150320_19_C3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150320_19_C3	same as DNp21				
DNp41	R18B12-20181204_62_B5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181204_62_B5					
DNp42	SS57807-20221021_44_G3-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20221021_44_G3					
DNp43	VT008977-20180126_61_D3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180126_61_D3					
DNp44	VT024643-20200221_62_H4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20200221_62_H4	red channel neuron				
DNp45	VT049904-20180117_61_I4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180117_61_I4					
DNp46	VT026771-20171031_62_E6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171031_62_E6					
DNp47	R70C09-20190618_63_J1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190618_63_J1					
DNp48	VT045568-20171020_66_C5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171020_66_C5	red/blue channel neuron				
DNp49	VT031392-20171020_61_D1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171020_61_D1	red channel neuron				
DNp50	R47B04-20190913_62_C1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190913_62_C1	green channel neuron		MDN	https://doi.org/10.1126/science.1249964	
DNp51	VT026665-20171017_62_D6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171017_62_D6					
DNp52	R12F03-20181121_64_G1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181121_64_G1					
DNp53	SS43995-20190426_26_C1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20190426_26_C1					
DNp54	VT056359-20171215_65_E1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171215_65_E1					
DNp55	R10D10-20181121_63_H4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181121_63_H4	red channel neuron				
DNp56	VT022091-20170926_63_G6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170926_63_G6	blue channel neuron				
DNp57	VT065328-20171110_64_D2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171110_64_D2	red channel neuron				
DNp58	R15C03-20181113_61_J2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181113_61_J2	red channel neuron				
DNp59	VT014013-20171122_62_E4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171122_62_E4					
DNp60	R41E03-20191008_62_B1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191008_62_B1	blue channel neuron				
DNp62	SS52433-20221021_45_D6-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20221021_45_D6					
DNp63	VT037525-20171208_64_A6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171208_64_A6					
DNp64	R49D11-20190806_62_E2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190806_62_E2					
DNp65	VT024599-20181009_61_E3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181009_61_E3					
DNp66	VT004958-20180330_62_F1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180330_62_F1	red channel neuron				
DNp67	SS33004-20191108_47_B1-f	not online					
DNp68	R71B08-20191008_63_G2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191008_63_G2	red channel neuron				
DNp69	R16E03-20190529_61_C4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190529_61_C4	red/blue channel neuron				
DNp70	VT019912-20160212_21_B5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20160212_21_B5	red/green channel neuron, VNC image not online				
DNp71	IS90829-20210917_48_D4	not online	(not online)				
DNp72	SS29909-20200117_43_A3-f	not online					
DNp73	VT019071-20180223_62_H5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180223_62_H5	red channel neuron				
DNp103	R23C06-20180921_63_D2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180921_63_D2	red channel neuron				
DNx01	VT033947-20191220_66_A3-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191220_66_A3					
DNx02	VT008485_63_G5-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?line=VT008485	green channel neuron				
oviDN	SS35666-20200205_31_K2-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20200205_31_K2		FBbt_00049919			
pIP10	SS46542-20170922_31_A3-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20170922_31_A3		FBbt_00110854			
pMP2	VT026873-20180504_62_E4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180504_62_E4	green channel neuron	FBbt_00111170			
LN-DN1	R64D07-20190823_62_E2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190823_62_E2					
LN-DN2	VT036787-20171020_62_F4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171020_62_F4					
