dn_type	LM_stack_id	URL	slide_code_notes	VFB_IDs	synonyms	reference	notes
DNg05	VT049125-20170922_65_E3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170922_65_E3	green channel right hemisphere	FBbt_00051904, FBbt_00047597	knees	https://elifesciences.org/articles/71679	
DNg06	SS02260_20141209_31_I1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_I1					
DNg07	SS02554-20150218_31_G1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_31_G1		FBbt_00047599, FBbt_00110631	AMMC-VNC PN, aPN(desc) neuron	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa , https://doi.org/10.1016/j.cub.2014.03.048	
DNg08	SS52444_20180928_22_B3-m	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20180928_22_B3					
DNg09	R28E01-20191213_61_F1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191213_61_F1					
DNg10	SS02111-20141209_31_F1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_F1					
DNg11	SS02555-20150218_31_H3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20150218_31_H3					
DNg12	R24D12-20180921_65_J3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180921_65_J3					
DNg13	SS01567-20140815_32_H4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140815_32_H4					
DNg14	SS01069-20140623_33_C2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_33_C2					
DNg15	SS02377-20141216_31_C3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_31_C3		FBbt_00051918, FBbt_00047607, FBbt_00111500	AMMC-Db5, nagini	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa , https://elifesciences.org/articles/71679	
DNg16	R22B10-20150625_19_F5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150625_19_F5					
DNg17	SS00898-20141209_31_B2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141209_31_B2					
DNg18	R14A06-20181121_66_E2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181121_66_E2					
DNg19	R22B10-20150625_19_F6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150625_19_F6					
DNg20	VT007182-20150220_19_A2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150220_19_A2					
DNg21	VT057342-20191127_63_D2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20191127_63_D2					
DNg22	SS03500-20211026_32_B3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20211026_32_B3					
DNg23	SS02257-20141031_20_B6-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141031_20_B6					
DNg24	R21F01-20190115_63_D3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190115_63_D3	red channel neuron	FBbt_00047616, FBbt_00111502	AMMC-Db7	https://onlinelibrary.wiley.com/doi/epdf/10.1002/cne.23955?sa	
DNg25	SS01602-20140819_32_G4-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140819_32_G4					not found, profile potentially runs outside the neuropil in the neck
DNg26	SS01061-20140623_32_E1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_32_E1					
DNg27	SS01557-20140722_34_A1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140722_34_A1					
DNg28	SS01063-20140623_32_G3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20140623_32_G3					not found, profile potentially runs outside the neuropil in the neck
DNg29	SS04159-20151028_31_C2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20151028_31_C2					
DNg30	SS02378-20141216_32_H1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20141216_32_H1			SPN	https://doi.org/10.1016/j.neuron.2018.03.032	
DNg31	R37G12-20190301_65_F6-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190301_65_F6					
DNg32	VT060740-20180327_62_G1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180327_62_G1					
DNg33	R11G09-20160513_26_A3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20160513_26_A3					
DNg34	R40A01-20181009_62_F4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181009_62_F4		FBbt_00047626, FBbt_00110149, FBbt_00110543	OA-VPM1, aDT8	https://doi.org/10.1002/cne.21966 , https://doi.org/10.1016/j.cub.2010.08.025	
DNg35	R92A09-20190906_61_I3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190906_61_I3					
DNg36	R34H12-20181009_64_C1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181009_64_C1					
DNg37	VT043662-20150702_19_B3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20150702_19_B3					
DNg38	VT000816-20180216_62_C1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180216_62_C1					
DNg39	VT038873-20170926_62_C6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170926_62_C6					
DNg40	R11B11-20180828_62_F2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180828_62_F2					
DNg41	VT015434-20170922_64_E3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170922_64_E3					
DNg42	VT065320-20170727_62_B6-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170727_62_B6					
DNg43	VT003236-20170602_62_G1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170602_62_G1					
DNg44	VT008483-20170926_63_C2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170926_63_C2					
DNg45	VT043707-20180615_64_J6-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180615_64_J6					
DNg46	R11B11-20180828_62_F3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180828_62_F3					
DNg47	R16H11-20181109_63_B5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181109_63_B5					
DNg48	R22C09-20181211_61_H4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181211_61_H4					
DNg49	VT039350-20171020_64_A5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171020_64_A5					
DNg50	R26F05-20181221_61_C3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181221_61_C3					
DNg51	R14B02-20181121_66_H5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181121_66_H5					
DNg52	SS67109-20200911_42_B3-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20200911_42_B3					
DNg53	VT059438-20171013_61_F4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171013_61_F4					
DNg54	VT000849-20171013_62_E4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171013_62_E4					
DNg55	VT019330-20171010_61_A1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171010_61_A1					
DNg56	VT009855-20171027_64_D1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171027_64_D1					
DNg57	VT045607-20171103_64_E1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171103_64_E1			bobber	https://elifesciences.org/articles/71679	
DNg58	VT026777-20171124_63_E2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171124_63_E2					
DNg59	R16G08-20190517_61_D5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190517_61_D5					
DNg60	SS44898-20170915_34_H2-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20170915_34_H2		FBbt_00051912	mesa, snail	https://elifesciences.org/articles/71679	
DNg61	R34E12-20190212_64_D5-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190212_64_D5			sink	https://elifesciences.org/articles/71679	
DNg62	SS43907-20171129_34_C1-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20171129_34_C1			aDN1		
DNg63	R52H04-20190531_62_B4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190531_62_B4					
DNg64	VT012403-20171128_61_B2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171128_61_B2					
DNg65	R31D07_20190111_63_A1-f	https://flweb.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?line=R31D07					
DNg66	R44G12-20190212_62_E4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190212_62_E4					
DNg67	R69E06-20190618_63_G4-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190618_63_G4					
DNg68	R35D04-20181005_61_C4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181005_61_C4					
DNg69	SS85917-20211217_45_B6-f	https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?slidecode=20211217_45_B6					
DNg70	R21F01-20190115_63_D3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190115_63_D3	blue channel neuron		DSOG1	https://www.cell.com/neuron/fulltext/S0896-6273(14)00392-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627314003924%3Fshowall%3Dtrue	
DNg71	VT037525-20171208_64_A3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171208_64_A3	red channel neuron				
DNg72	VT011132-20180216_64_I1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180216_64_I1			genie	https://elifesciences.org/articles/71679	
DNg73	VT013594-20180221_61_I3-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20180221_61_I3					
DNg74	VT058873-20170602_62_A2-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170602_62_A2			web	https://elifesciences.org/articles/71679	
DNg75	R16G08-20181127_64_F6-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181127_64_F6					
DNg76	VT040430-20170919_63_C5-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20170919_63_C5					
DNg77	R84H11-20190607_62_F1-m	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20190607_62_F1			snake	https://elifesciences.org/articles/71679	
DNg78	SS67063_20201009_21_A1-f	not online	(not online)				
DNg79	VT037534-20171010_62_D4-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171010_62_D4					
DNg80	VT037537-20171110_62_B1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20171110_62_B1			gumdrop	https://elifesciences.org/articles/71679	
DNg81	R10G10-20181109_64_H1-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181109_64_H1					
DNg82	R24G01-20181214_61_I2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181214_61_I2					
DNg83	R40D05-20181009_62_I2-f	https://gen1mcfo.janelia.org/cgi-bin/view_gen1mcfo_imagery.cgi?slidecode=20181009_62_I2					
